Id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
575,40,Travel_Frequently,660,Research & Development,29,4,Life Sciences,1,4,Female,35,3,1,Laboratory Technician,4,Married,3690,8758,3,Y,No,21,4,3,80,1,20,4,3,4,2,1,3,0
1564,35,Travel_Rarely,325,Research & Development,20,3,Life Sciences,1,3,Male,89,4,1,Laboratory Technician,3,Single,2455,6770,0,Y,No,12,3,1,80,0,6,3,3,5,4,0,3,0
1865,34,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,No,17,3,3,80,0,10,2,2,10,9,1,9,0
1700,21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0
2289,28,Travel_Rarely,760,Sales,2,4,Marketing,1,2,Female,81,3,2,Sales Executive,2,Married,4779,3698,1,Y,Yes,20,4,1,80,0,8,2,3,8,7,7,5,0
275,27,Travel_Rarely,1463,Sales,7,4,Life Sciences,1,4,Female,41,3,2,Sales Executive,4,Single,5714,4258,1,Y,No,16,3,3,80,0,7,3,3,7,7,1,7,0
1192,58,Travel_Rarely,713,Sales,2,3,Life Sciences,1,4,Female,63,3,2,Sales Executive,4,Married,6804,23293,0,Y,No,12,3,2,80,1,19,2,3,19,9,11,7,0
256,35,Travel_Rarely,706,Sales,10,4,Marketing,1,1,Male,88,3,1,Sales Representative,2,Single,2014,5050,1,Y,No,12,3,1,80,0,2,3,3,2,2,2,2,1
360,38,Travel_Frequently,835,Sales,9,4,Life Sciences,1,3,Male,78,3,1,Sales Representative,4,Married,2899,7003,1,Y,No,14,3,2,80,1,2,2,3,2,2,1,2,0
964,38,Travel_Frequently,804,Research & Development,2,2,Life Sciences,1,4,Female,73,4,1,Laboratory Technician,3,Single,2926,25308,3,Y,No,23,4,1,80,0,7,2,3,3,2,1,0,0
2520,26,Travel_Rarely,1384,Research & Development,3,4,Medical,1,1,Male,82,4,1,Laboratory Technician,4,Married,4420,13421,1,Y,No,22,4,2,80,1,8,2,3,8,7,0,7,0
2158,34,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,2,Male,83,2,1,Research Scientist,4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3,0
604,37,Travel_Rarely,465,Research & Development,2,3,Medical,1,4,Male,32,3,1,Laboratory Technician,1,Single,3196,8306,1,Y,No,12,3,4,80,0,8,2,3,6,0,0,6,0
1057,31,Travel_Rarely,1277,Sales,2,4,Marketing,1,2,Male,88,4,2,Sales Executive,4,Single,9204,9129,1,Y,No,11,3,4,80,0,10,3,3,10,2,2,2,1
2252,54,Travel_Rarely,376,Research & Development,19,4,Medical,1,4,Female,95,3,2,Manufacturing Director,1,Divorced,5485,22670,9,Y,Yes,11,3,2,80,2,9,4,3,5,3,1,4,0
629,25,Travel_Rarely,678,Research & Development,18,2,Life Sciences,1,4,Male,51,3,1,Research Scientist,4,Single,2935,22887,0,Y,No,13,3,4,80,0,3,4,3,2,2,2,2,1
1518,34,Travel_Rarely,147,Research & Development,14,2,Life Sciences,1,1,Male,79,3,1,Laboratory Technician,3,Married,3977,19764,3,Y,No,15,3,1,80,1,7,2,3,3,2,0,2,1
1857,31,Travel_Rarely,140,Research & Development,12,1,Medical,1,3,Female,95,3,1,Research Scientist,4,Married,3929,6984,8,Y,Yes,23,4,3,80,1,7,0,3,4,2,0,2,0
1073,41,Travel_Rarely,1397,Research & Development,7,1,Medical,1,2,Male,82,1,1,Laboratory Technician,4,Divorced,2109,12290,8,Y,No,14,3,3,80,1,7,4,3,4,3,0,3,0
286,27,Travel_Rarely,561,Sales,3,4,Medical,1,3,Male,47,3,1,Sales Representative,1,Married,2819,22490,1,Y,No,11,3,1,80,0,7,2,3,7,7,1,7,1
1110,28,Travel_Rarely,478,Research & Development,1,2,Technical Degree,1,4,Female,75,3,1,Research Scientist,2,Married,2044,3487,1,Y,No,14,3,2,80,0,5,3,2,5,2,1,3,0
1004,42,Travel_Rarely,335,Research & Development,6,3,Life Sciences,1,4,Female,83,2,1,Laboratory Technician,1,Divorced,2093,7152,3,Y,No,14,3,4,80,1,14,2,3,1,0,0,0,0
1731,26,Travel_Rarely,1443,Sales,23,3,Marketing,1,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,0
2584,44,Travel_Rarely,1099,Sales,5,3,Marketing,1,2,Male,88,3,5,Manager,2,Married,18213,8751,7,Y,No,11,3,3,80,1,26,5,3,22,9,3,10,0
423,34,Travel_Rarely,989,Research & Development,2,4,Medical,1,4,Female,86,3,3,Healthcare Representative,4,Married,9714,7790,3,Y,Yes,12,3,4,80,1,10,4,2,4,2,1,3,0
2106,46,Travel_Rarely,1009,Research & Development,2,3,Life Sciences,1,1,Male,51,3,4,Research Director,3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,0
1514,39,Travel_Frequently,1401,Research & Development,3,3,Life Sciences,1,4,Male,92,1,2,Healthcare Representative,3,Married,4162,15411,1,Y,No,12,3,4,80,1,10,0,3,10,9,9,1,0
1909,59,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,0
162,47,Travel_Frequently,689,Sales,24,4,Marketing,1,2,Male,41,4,2,Sales Executive,3,Married,4668,22822,7,Y,No,12,3,1,80,1,15,2,3,7,7,1,6,0
65,29,Travel_Rarely,1401,Research & Development,3,4,Life Sciences,1,3,Male,52,3,2,Research Scientist,2,Married,4787,16225,1,Y,No,19,3,1,80,2,10,3,3,10,8,0,9,0
1975,36,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,Y,No,18,3,4,80,2,4,2,3,1,0,0,0,0
856,28,Travel_Rarely,1434,Research & Development,6,2,Medical,1,2,Male,66,3,1,Laboratory Technician,3,Married,3221,4668,1,Y,No,12,3,3,80,1,3,1,3,3,2,0,2,0
890,27,Travel_Frequently,458,Research & Development,2,3,Technical Degree,1,3,Female,51,3,2,Healthcare Representative,3,Married,6811,3142,1,Y,No,14,3,2,80,0,8,1,3,8,7,7,7,0
1789,54,Non-Travel,142,Human Resources,26,3,Human Resources,1,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4,0
1475,33,Travel_Frequently,527,Sales,17,2,Life Sciences,1,2,Female,72,2,3,Sales Executive,3,Single,10793,20284,0,Y,No,14,3,3,80,0,14,5,3,13,9,1,9,0
742,39,Travel_Rarely,1131,Sales,2,3,Life Sciences,1,4,Female,79,1,2,Sales Executive,1,Single,12169,21378,0,Y,No,22,4,4,80,0,21,3,3,21,6,3,14,0
1446,42,Non-Travel,703,Research & Development,2,4,Life Sciences,1,3,Male,57,3,5,Manager,1,Married,19246,2326,5,Y,No,19,3,3,80,1,24,3,3,22,14,15,6,0
1985,58,Non-Travel,390,Research & Development,1,4,Life Sciences,1,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2,0
230,31,Travel_Rarely,652,Research & Development,2,1,Medical,1,1,Female,37,3,4,Research Director,4,Married,16184,21445,0,Y,No,12,3,2,80,1,9,3,4,8,7,1,7,0
1894,29,Travel_Rarely,992,Research & Development,1,3,Technical Degree,1,3,Male,85,3,1,Research Scientist,3,Single,2058,19757,0,Y,No,14,3,4,80,0,7,1,2,6,2,1,5,1
2350,33,Travel_Rarely,1198,Research & Development,1,4,Other,1,3,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,0
1425,56,Travel_Rarely,693,Research & Development,6,3,Life Sciences,1,3,Male,36,3,2,Manufacturing Director,4,Single,4258,22794,2,Y,No,14,3,4,80,0,7,2,2,2,2,2,2,0
2567,54,Travel_Frequently,966,Research & Development,1,4,Life Sciences,1,4,Female,53,3,3,Manufacturing Director,3,Divorced,10502,9659,7,Y,No,17,3,1,80,1,33,2,1,5,4,1,4,0
1701,34,Travel_Rarely,699,Research & Development,6,1,Medical,1,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,1
1587,54,Travel_Rarely,604,Research & Development,2,4,Life Sciences,1,3,Male,96,3,2,Manufacturing Director,3,Single,5472,2396,4,Y,No,17,3,1,80,0,16,0,2,6,2,1,2,0
1978,18,Travel_Rarely,812,Sales,10,3,Medical,1,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,0
1566,40,Travel_Frequently,855,Sales,15,2,Life Sciences,1,4,Male,84,3,2,Sales Executive,2,Married,4682,9148,1,Y,No,13,3,4,80,1,8,3,1,8,7,7,7,0
836,28,Travel_Rarely,526,Research & Development,3,3,Life Sciences,1,1,Male,85,3,1,Research Scientist,3,Single,1859,9150,1,Y,No,13,3,4,80,0,1,3,3,1,0,0,0,0
1375,47,Travel_Rarely,827,Research & Development,9,4,Medical,1,3,Female,44,2,1,Research Scientist,3,Divorced,3491,23231,2,Y,No,13,3,3,80,1,18,2,2,9,7,0,8,0
374,43,Travel_Rarely,394,Research & Development,1,3,Technical Degree,1,2,Male,72,3,4,Research Director,3,Divorced,16756,19715,1,Y,No,14,3,2,80,1,20,3,1,20,8,0,5,0
2593,46,Travel_Rarely,168,Sales,4,2,Marketing,1,4,Female,33,2,5,Manager,2,Married,18789,9946,2,Y,No,14,3,3,80,1,26,2,3,11,4,0,8,0
1834,58,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0,0
1952,37,Non-Travel,728,Research & Development,1,4,Medical,1,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2,0
297,46,Travel_Frequently,721,Research & Development,11,4,Medical,1,2,Female,72,3,3,Manager,1,Single,11631,3142,1,Y,No,15,3,4,80,0,10,2,2,10,7,6,3,0
598,29,Non-Travel,882,Sales,28,1,Medical,1,2,Female,98,3,2,Sales Executive,4,Divorced,5296,20689,1,Y,No,13,3,3,80,1,5,2,4,5,3,0,3,0
1769,30,Travel_Rarely,1334,Sales,4,2,Medical,1,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,0
751,26,Travel_Frequently,810,Research & Development,18,3,Life Sciences,1,4,Male,60,3,1,Laboratory Technician,1,Married,3669,11992,3,Y,Yes,11,3,1,80,1,8,3,3,3,2,1,2,0
99,36,Travel_Rarely,1495,Research & Development,1,3,Medical,1,4,Male,43,2,2,Manufacturing Director,2,Single,5163,23177,6,Y,Yes,16,3,4,80,0,17,2,2,5,4,0,4,0
1097,40,Travel_Rarely,1239,Research & Development,13,4,Medical,1,3,Male,96,3,2,Healthcare Representative,3,Divorced,6687,8978,4,Y,Yes,11,3,3,80,1,8,3,4,3,2,0,2,0
2544,50,Travel_Frequently,1421,Research & Development,2,3,Medical,1,4,Female,30,3,4,Manager,1,Married,17856,9490,2,Y,No,22,4,3,80,1,32,3,3,2,2,2,2,0
866,28,Travel_Frequently,653,Sales,1,3,Medical,1,1,Male,92,3,2,Sales Executive,3,Married,5147,23457,1,Y,No,15,3,4,80,1,10,3,3,10,7,1,7,0
736,34,Travel_Rarely,587,Research & Development,1,4,Life Sciences,1,2,Male,93,2,1,Laboratory Technician,1,Married,3755,6209,0,Y,No,13,3,2,80,1,7,2,2,6,1,0,4,0
1842,50,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,1,3,Female,53,3,5,Manager,2,Single,19926,17053,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4,0
1550,47,Travel_Rarely,590,Sales,3,4,Marketing,1,1,Male,91,3,2,Sales Executive,1,Divorced,6782,24118,4,Y,No,13,3,4,80,2,7,5,3,5,2,0,3,0
1491,40,Travel_Rarely,1299,Sales,4,3,Medical,1,3,Male,64,2,2,Sales Executive,4,Married,6653,5494,0,Y,Yes,16,3,1,80,1,20,4,3,18,11,2,7,0
529,37,Travel_Rarely,1480,Research & Development,2,1,Life Sciences,1,3,Male,42,2,1,Laboratory Technician,3,Single,2099,4681,4,Y,Yes,13,3,3,80,0,13,2,2,11,9,4,9,1
1490,39,Travel_Frequently,589,Research & Development,2,2,Life Sciences,1,2,Male,41,3,4,Healthcare Representative,3,Divorced,13973,17810,7,Y,No,11,3,3,80,2,21,2,2,21,6,3,7,0
978,51,Travel_Rarely,835,Research & Development,20,4,Medical,1,4,Female,53,2,1,Research Scientist,1,Single,2743,17674,4,Y,Yes,13,3,3,80,0,18,3,3,3,2,0,2,0
1455,42,Travel_Rarely,634,Sales,10,2,Life Sciences,1,3,Male,49,3,3,Sales Executive,4,Single,8161,9490,3,Y,Yes,21,4,4,80,0,18,3,3,0,0,0,0,0
636,49,Travel_Rarely,1452,Research & Development,11,4,Other,1,4,Male,82,3,3,Manufacturing Director,2,Married,7655,23402,3,Y,No,14,3,3,80,1,29,2,3,8,7,7,7,0
2409,30,Travel_Frequently,109,Research & Development,5,3,Medical,1,2,Female,60,3,1,Laboratory Technician,2,Single,2422,25725,0,Y,No,17,3,1,80,0,4,3,3,3,2,1,2,1
185,26,Travel_Rarely,735,Research & Development,1,1,Medical,1,4,Male,38,3,2,Manufacturing Director,4,Divorced,4319,5860,1,Y,No,12,3,1,80,2,5,4,2,5,3,1,4,0
1882,29,Travel_Rarely,121,Sales,27,3,Marketing,1,2,Female,35,3,3,Sales Executive,4,Married,7639,24525,1,Y,No,22,4,4,80,3,10,3,2,10,4,1,9,1
1380,32,Travel_Frequently,322,Research & Development,12,3,Medical,1,1,Male,62,3,2,Research Scientist,2,Single,5415,14776,0,Y,No,11,3,1,80,0,9,3,3,7,7,7,1,0
1737,32,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,0
1033,44,Travel_Rarely,1092,Research & Development,3,2,Medical,1,3,Male,96,3,1,Research Scientist,3,Single,2559,26278,4,Y,No,14,3,1,80,0,10,4,3,2,2,2,2,0
931,33,Travel_Rarely,1179,Research & Development,1,4,Life Sciences,1,1,Male,62,3,2,Healthcare Representative,3,Married,5484,13008,1,Y,No,11,3,1,80,1,10,2,3,10,7,0,2,1
2486,28,Travel_Rarely,950,Research & Development,3,3,Medical,1,4,Female,93,3,3,Manufacturing Director,2,Divorced,7655,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7,0
1283,44,Travel_Rarely,1064,Sales,6,3,Life Sciences,1,1,Female,42,2,5,Manager,4,Married,18265,22021,0,Y,No,13,3,4,80,2,26,3,3,25,13,1,7,0
2087,30,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,3,Female,43,1,2,Manufacturing Director,4,Single,6091,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,0
2153,24,Travel_Rarely,823,Research & Development,17,2,Other,1,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,0
511,37,Non-Travel,1217,Sales,10,2,Marketing,1,4,Male,98,3,2,Sales Executive,3,Single,6500,16734,4,Y,No,15,3,2,80,0,8,2,2,6,2,3,4,0
2416,27,Travel_Rarely,1055,Research & Development,2,4,Life Sciences,1,1,Female,47,3,2,Manufacturing Director,4,Married,4227,4658,0,Y,No,18,3,2,80,1,4,2,3,3,2,2,2,0
1508,32,Travel_Rarely,117,Research & Development,8,3,Life Sciences,1,4,Male,67,4,2,Manufacturing Director,3,Married,4284,12832,1,Y,Yes,11,3,2,80,1,4,3,1,3,2,1,2,0
2219,38,Travel_Rarely,168,Research & Development,1,3,Life Sciences,1,3,Female,81,3,3,Manufacturing Director,3,Single,7861,15397,4,Y,Yes,14,3,4,80,0,10,4,4,1,0,0,0,0
1674,29,Travel_Frequently,1184,Human Resources,24,3,Human Resources,1,2,Male,36,2,1,Human Resources,1,Married,2804,15322,1,Y,Yes,11,3,3,80,0,1,2,3,1,0,0,0,1
2285,55,Travel_Rarely,436,Sales,2,1,Medical,1,3,Male,37,3,2,Sales Executive,4,Single,5160,21519,4,Y,No,16,3,3,80,0,12,3,2,9,7,7,3,1
607,44,Travel_Rarely,444,Research & Development,8,3,Life Sciences,1,4,Male,72,2,2,Laboratory Technician,1,Single,3633,22908,4,Y,No,22,4,1,80,0,9,2,3,5,2,0,4,0
1269,39,Travel_Rarely,333,Sales,6,4,Marketing,1,3,Female,64,1,3,Sales Executive,3,Single,10932,10056,0,Y,Yes,14,3,3,80,0,21,2,3,20,9,11,10,1
1684,30,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,0
561,26,Travel_Rarely,443,Research & Development,5,3,Technical Degree,1,2,Male,72,3,1,Research Scientist,2,Married,3660,17808,1,Y,No,13,3,3,80,1,3,3,3,3,2,1,2,0
151,39,Travel_Rarely,1377,Human Resources,2,3,Life Sciences,1,2,Male,88,3,2,Human Resources,4,Married,5257,5561,2,Y,No,13,3,1,80,1,19,2,2,2,2,2,2,0
1874,42,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No,16,3,2,80,1,11,5,3,5,3,0,2,0
381,36,Travel_Rarely,1283,Sales,1,3,Life Sciences,1,4,Female,81,3,3,Sales Executive,4,Married,8606,2354,0,Y,Yes,13,3,2,80,1,14,2,3,13,12,4,12,0
1334,41,Travel_Rarely,1199,Research & Development,10,3,Life Sciences,1,2,Female,92,2,1,Laboratory Technician,2,Married,2288,21981,1,Y,No,11,3,4,80,0,12,2,3,12,9,4,8,0
731,58,Travel_Rarely,1351,Research & Development,21,4,Technical Degree,1,4,Female,59,3,5,Research Director,1,Single,19328,12154,5,Y,No,14,3,4,80,0,30,2,3,3,2,0,2,0
2374,29,Travel_Frequently,1404,Sales,20,3,Technical Degree,1,3,Female,84,3,1,Sales Representative,4,Married,2157,18203,1,Y,No,15,3,2,80,1,3,5,3,3,1,0,2,0
1340,30,Travel_Rarely,1490,Research & Development,2,4,Life Sciences,1,3,Male,67,3,2,Laboratory Technician,4,Married,5309,19760,1,Y,No,12,3,1,80,2,10,4,3,10,7,5,8,0
2492,21,Travel_Rarely,984,Research & Development,1,1,Technical Degree,1,4,Female,70,2,1,Research Scientist,2,Single,2070,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2,0
23,43,Travel_Rarely,530,Research & Development,2,3,Life Sciences,1,4,Female,51,3,1,Research Scientist,3,Single,3312,22474,3,Y,No,13,3,4,80,0,18,3,3,2,2,2,2,0
